;;;;;Recepcion;;;;Balanza;;;;Darsena 1;;;;;Darsena 2;;;;Camion 1;17155,4432;;;Camion 2;;;;Camion 3;16297,3514;;;Camion 4;;;;Camion 5;16266,5755;;;Camion 6;15191,2049;;;Camion 7;19142,2075;;;Camion 8;;;;Camion 9;16173,6491;;;Camion 10;21034,8441;;
Evento;Camion;Dia;Reloj;Tiempo prox llegada;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Atendidos;Estado;Camion;Prox fin atencion;Atendidos;Cola;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion
Llega camion;1199;26;12hs 42min 47s;0hs 2min 3s;Libre;----;0hs 0min 0s;1;Ocupado;1198;0hs 2min 11s;0;Ocupado;1197;0hs 16min 52s;5;Libre;----;0hs 0min 0s;11;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1200;26;12hs 44min 51s;0hs 2min 31s;Ocupado;1199;0hs 4min 30s;1;Ocupado;1198;0hs 0min 7s;0;Ocupado;1197;0hs 14min 48s;5;Libre;----;0hs 0min 0s;11;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;1198;26;12hs 44min 58s;0hs 0min 0s;Ocupado;1199;0hs 4min 22s;1;Libre;----;..hs ..min ..s;0;Ocupado;1197;0hs 14min 41s;5;Libre;----;0hs 0min 0s;11;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1201;26;12hs 47min 23s;0hs 5min 8s;Ocupado;1199;0hs 1min 58s;2;Libre;----;0hs 0min 0s;0;Ocupado;1197;0hs 12min 16s;5;Ocupado;1198;0hs 14min 36s;11;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1199;26;12hs 49min 21s;0hs 0min 0s;Ocupado;1200;0hs 3min 18;1;Libre;----;0hs 0min 0s;1;Ocupado;1197;0hs 10min 18s;5;Ocupado;1198;0hs 12min 38s;11;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1202;26;12hs 52min 32s;0hs 12min 35s;Ocupado;1200;0hs 0min 8s;2;Ocupado;1199;0hs 3min 14s;0;Ocupado;1197;0hs 7min 7s;5;Ocupado;1198;0hs 9min 27s;11;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1200;26;12hs 52min 40s;0hs 0min 0s;Ocupado;1201;0hs 3min 56;1;Ocupado;1199;0hs 3min 6s;1;Ocupado;1197;0hs 6min 59s;5;Ocupado;1198;0hs 9min 19s;11;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;1199;26;12hs 55min 46s;0hs 0min 0s;Ocupado;1201;0hs 0min 50s;1;Ocupado;1200;..hs ..min ..s;0;Ocupado;1197;0hs 3min 53s;5;Ocupado;1198;0hs 6min 13s;11;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1201;26;12hs 56min 37s;0hs 0min 0s;Ocupado;1202;0hs 4min 27;0;Ocupado;1200;0hs 4min 51s;1;Ocupado;1197;0hs 3min 2s;5;Ocupado;1198;0hs 5min 22s;11;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;1197;26;12hs 59min 39s;0hs 0min 0s;Ocupado;1202;0hs 1min 25s;0;Ocupado;1200;0hs 1min 48s;1;Ocupado;1199;0hs 17min 21s;6;Ocupado;1198;0hs 2min 19s;11;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1202;26;13hs 1min 5s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Ocupado;1200;0hs 0min 23s;2;Ocupado;1199;0hs 15min 56s;6;Ocupado;1198;0hs 0min 54s;11;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;1200;26;13hs 1min 28s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;1201;..hs ..min ..s;1;Ocupado;1199;0hs 15min 33s;6;Ocupado;1198;0hs 0min 31s;11;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;1198;26;13hs 1min 59s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Ocupado;1201;0hs 6min 25s;1;Ocupado;1199;0hs 15min 1s;6;Ocupado;1200;0hs 15min 1s;12;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1203;26;13hs 5min 8s;0hs 13min 18s;Libre;----;0hs 0min 0s;1;Ocupado;1201;0hs 3min 17s;1;Ocupado;1199;0hs 11min 53s;6;Ocupado;1200;0hs 14min 12s;12;0;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;1201;26;13hs 8min 25s;0hs 0min 0s;Ocupado;1203;0hs 0min 50s;0;Ocupado;1202;..hs ..min ..s;0;Ocupado;1199;0hs 8min 36s;6;Ocupado;1200;0hs 10min 55s;12;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1203;26;13hs 9min 16s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Ocupado;1202;0hs 5min 37s;0;Ocupado;1199;0hs 7min 45s;6;Ocupado;1200;0hs 10min 4s;12;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;1202;26;13hs 14min 53s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;0;Ocupado;1199;0hs 2min 8s;6;Ocupado;1200;0hs 4min 27s;12;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;1199;26;13hs 17min 1s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Ocupado;1201;0hs 19min 47s;7;Ocupado;1200;0hs 2min 18s;12;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1204;26;13hs 18min 27s;0hs 0min 3s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;1201;0hs 18min 22s;7;Ocupado;1200;0hs 0min 53s;12;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1205;26;13hs 18min 31s;0hs 14min 19s;Ocupado;1204;0hs 6min 38s;1;Libre;----;0hs 0min 0s;0;Ocupado;1201;0hs 18min 18s;7;Ocupado;1200;0hs 0min 49s;12;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;1200;26;13hs 19min 20s;0hs 0min 0s;Ocupado;1204;0hs 5min 48s;1;Libre;----;0hs 0min 0s;0;Ocupado;1201;0hs 17min 28s;7;Ocupado;1203;0hs 17min 28s;13;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1204;26;13hs 25min 9s;0hs 0min 0s;Ocupado;1205;0hs 3min 50;0;Libre;----;0hs 0min 0s;1;Ocupado;1201;0hs 11min 40s;7;Ocupado;1203;0hs 13min 39s;13;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1205;26;13hs 29min 0s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Ocupado;1204;0hs 1min 25s;0;Ocupado;1201;0hs 7min 49s;7;Ocupado;1203;0hs 9min 48s;13;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;1204;26;13hs 30min 25s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;0;Ocupado;1201;0hs 6min 24s;7;Ocupado;1203;0hs 8min 23s;13;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1206;26;13hs 32min 51s;0hs 5min 36s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;1201;0hs 3min 58s;7;Ocupado;1203;0hs 5min 57s;13;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;1201;26;13hs 36min 49s;0hs 0min 0s;Ocupado;1206;0hs 2min 52s;0;Libre;----;0hs 0min 0s;0;Ocupado;1202;0hs 16min 20s;8;Ocupado;1203;0hs 1min 58s;13;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1207;26;13hs 38min 28s;0hs 1min 55s;Ocupado;1206;0hs 1min 14s;1;Libre;----;0hs 0min 0s;0;Ocupado;1202;0hs 14min 42s;8;Ocupado;1203;0hs 0min 20s;13;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 2;1203;26;13hs 38min 48s;0hs 0min 0s;Ocupado;1206;0hs 0min 53s;1;Libre;----;0hs 0min 0s;0;Ocupado;1202;0hs 14min 21s;8;Ocupado;1205;0hs 14min 21s;14;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1206;26;13hs 39min 42s;0hs 0min 0s;Ocupado;1207;0hs 5min 29;0;Libre;----;0hs 0min 0s;1;Ocupado;1202;0hs 13min 28s;8;Ocupado;1205;0hs 18min 39s;14;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1208;26;13hs 40min 24s;0hs 12min 55s;Ocupado;1207;0hs 4min 48s;1;Ocupado;1206;0hs 4min 20s;0;Ocupado;1202;0hs 12min 46s;8;Ocupado;1205;0hs 17min 57s;14;1;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;1206;26;13hs 44min 44s;0hs 0min 0s;Ocupado;1207;0hs 0min 27s;1;Libre;----;..hs ..min ..s;0;Ocupado;1202;0hs 8min 26s;8;Ocupado;1205;0hs 13min 37s;14;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1207;26;13hs 45min 12s;0hs 0min 0s;Ocupado;1208;0hs 5min 38;0;Libre;----;0hs 0min 0s;1;Ocupado;1202;0hs 7min 58s;8;Ocupado;1205;0hs 13min 9s;14;2;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Balanza;1207;26;13hs 50min 42s;0hs 0min 0s;Ocupado;1208;0hs 0min 8s;0;Libre;----;..hs ..min ..s;0;Ocupado;1202;0hs 2min 28s;8;Ocupado;1205;0hs 7min 39s;14;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1208;26;13hs 50min 51s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Libre;----;0hs 0min 0s;0;Ocupado;1202;0hs 2min 19s;8;Ocupado;1205;0hs 7min 30s;14;4;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Darsena 1;1202;26;13hs 53min 10s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;0;Ocupado;1204;0hs 15min 9s;9;Ocupado;1205;0hs 5min 10s;14;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1209;26;13hs 53min 20s;0hs 3min 48s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;1204;0hs 15min 0s;9;Ocupado;1205;0hs 5min 1s;14;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Fin atencion Recepcion;1209;26;13hs 56min 21s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Libre;----;0hs 0min 0s;1;Ocupado;1204;0hs 11min 59s;9;Ocupado;1205;0hs 2min 0s;14;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
Llega camion;1210;26;13hs 57min 9s;0hs 0min 3s;Libre;----;0hs 0min 0s;1;Ocupado;1209;0hs 4min 18s;0;Ocupado;1204;0hs 11min 11s;9;Ocupado;1205;0hs 1min 12s;14;3;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--;Terminado;--:--:--;--:--:--;--:--:--
